,ID,UniName,UniLocation,WikiURL
268,219,University of York,"53.94659042358398, -1.052500009536743",
269,220,Desautels Faculty of Management,"45.50255966186523, -73.57643890380859",
270,220,"Lady Margaret Hall, Oxford","51.76483154296875, -1.254035949707031",
271,221,University of Sussex,"50.86527633666992, -0.0855555534362793",
272,222,University College London,"51.52472305297852, -0.1336111128330231",
273,222,Keele University,"53.00299835205078, -2.273000001907349",
274,223,University of Manchester,"53.46666717529297, -2.233333349227905",
275,224,Castlereagh College,"54.57799911499023, -5.894000053405762",
276,225,University College London,"51.52472305297852, -0.1336111128330231",
277,225,"Fitzwilliam College, Cambridge","52.21446990966797, 0.1048899963498116",
278,225,"Keble College, Oxford","51.7588996887207, -1.257714986801147",
279,226,University of Liverpool,"53.40599822998047, -2.967000007629395",
280,227,University of York,"53.94659042358398, -1.052500009536743",
281,228,University of North London,"51.55179977416992, -0.1106000021100044",
282,229,"Hertford College, Oxford","51.75420379638672, -1.253466963768005",
283,230,University of Exeter,"50.73611068725586, -3.535000085830688",
284,231,University of Edinburgh,"55.9473876953125, -3.187194347381592",
285,231,Cranfield University,"52.07333374023438, -0.6277777552604675",
286,232,University College London,"51.52472305297852, -0.1336111128330231",
287,232,"Merton College, Oxford","51.75099945068359, -1.251999974250793",
288,233,University of Birmingham,"52.45055389404297, -1.930555582046509",
289,234,University of Birmingham,"52.45055389404297, -1.930555582046509",
290,235,University of Manchester,"53.46666717529297, -2.233333349227905",
291,236,University of Hertfordshire,"51.75333404541016, -0.2438888847827911",
292,236,London College of Communication,"51.49468231201172, -0.1018805578351021",
293,237,University of Glasgow,"55.87194442749023, -4.287499904632568",
294,238,University of Sheffield,"53.38069915771484, -1.488800048828125",
295,239,Oxford Brookes University,"51.75426483154297, -1.222699999809265",
296,240,Imperial College London,"51.49835586547852, -0.1768939942121506",
297,241,London School of Economics,"51.51388931274414, -0.116666667163372",
298,242,University of Bath,"51.37960052490234, -2.328000068664551",
299,242,University of East Anglia,"52.62166595458984, 1.241666674613953",
300,243,University of Edinburgh,"55.9473876953125, -3.187194347381592",
301,244,University of East London,"51.50777816772461, 0.06361111253499985",
302,245,University of Nottingham,"52.93899917602539, -1.197000026702881",
303,246,University of Edinburgh,"55.9473876953125, -3.187194347381592",
304,247,University of Liverpool,"53.40599822998047, -2.967000007629395",
305,247,"Goldsmiths, University of London","51.47389984130859, -0.03539999946951866",
306,247,London Guildhall University,"51.5177001953125, -0.08829999715089798",
307,248,University of Bolton,"53.57361221313477, -2.435833215713501",
308,249,University of Kent,"51.29700088500977, 1.069000005722046",
309,250,Queen Mary University of London,"51.52299880981445, -0.03999999910593033",
310,251,"Newnham College, Cambridge","52.19950103759766, 0.1076999977231026",
311,252,London School of Economics,"51.51388931274414, -0.116666667163372",
312,253,University of Bristol,"51.45639038085938, -2.60444450378418",
313,253,King's College London,"51.51194381713867, -0.1161111146211624",
314,254,"Brasenose College, Oxford","51.75320434570312, -1.254731059074402",
315,255,Victoria University of Manchester,"53.46749877929688, -2.232500076293945",
316,255,Liverpool John Moores University,"53.40299987792969, -2.970000028610229",
317,256,University of Glasgow,"55.87194442749023, -4.287499904632568",
318,257,London South Bank University,"51.49813842773438, -0.1015399992465973",
319,258,University of Essex,"51.8763313293457, 0.9448699951171875",
320,258,Glasgow School of Art,"55.86612319946289, -4.263733386993408",
321,258,Glasgow Metropolitan College,"55.86259841918945, -4.248899936676025",
322,259,"Lady Margaret Hall, Oxford","51.76483154296875, -1.254035949707031",
323,260,University of Glasgow Medical School,"55.87200164794922, -4.288000106811523",
324,261,Queen's University Belfast,"54.58416748046875, -5.934722423553467",
325,262,University of Glasgow,"55.87194442749023, -4.287499904632568",
326,263,Newcastle University,"54.97800064086914, -1.615000009536743",
327,264,University of Sussex,"50.86527633666992, -0.0855555534362793",
328,264,Loughborough University,"52.76833343505859, -1.22861111164093",
329,265,King's College London,"51.51194381713867, -0.1161111146211624",
330,266,Swansea University,"51.60972213745117, -3.980555534362793",
331,267,University of Kent,"51.29700088500977, 1.069000005722046",
332,268,University of Hull,"53.770263671875, -0.3671410083770752",
333,269,Bangor University,"53.22890090942383, -4.130099773406982",
334,269,"Somerville College, Oxford","51.7590446472168, -1.262272000312805",
335,270,"Trinity Hall, Cambridge","52.2056999206543, 0.1156999990344048",
336,271,"Pembroke College, Cambridge","52.20199966430664, 0.119999997317791",
337,271,City Law School,"51.5272216796875, -0.1055555567145348",
338,272,University of Sheffield,"53.38069915771484, -1.488800048828125",
339,273,University of East Anglia,"52.62166595458984, 1.241666674613953",
340,274,London School of Economics,"51.51388931274414, -0.116666667163372",
341,275,Bedales School,"51.02027893066406, -0.9422222375869751",
342,275,London School of Economics,"51.51388931274414, -0.116666667163372",
343,276,University of Warwick,"52.38000106811523, -1.56166660785675",
344,276,Aston University,"52.48600006103516, -1.889500021934509",
345,277,"Magdalene College, Cambridge","52.21049880981445, 0.1164999976754189",
346,278,University of Oxford,"51.75500106811523, -1.254999995231628",
347,278,"Lincoln College, Oxford","51.75326156616211, -1.255905032157898",
348,279,University College London,"51.52472305297852, -0.1336111128330231",
349,280,Newcastle University,"54.97800064086914, -1.615000009536743",
350,281,Open University,"52.02500152587891, -0.7055555582046509",
